@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
243,'2024/11/10 16:15:04:646',3,0.459309,0.317727,0.500143,0.318637,0.553549,0.316359,0.594249,0.311587,0.52945,0.407337,0.526626,0.254521,0.504536,0.491452,0.554519,0.488976,0.530072,0.483708,0.530195,0.498535,0.55,0.15,0.86
244,'2024/11/10 16:15:04:679',3,0.459089,0.317875,0.500095,0.318768,0.553753,0.316313,0.594606,0.311325,0.529638,0.407715,0.526623,0.254642,0.505011,0.491518,0.555094,0.488614,0.530563,0.483913,0.530646,0.498194,0.55,0.15,0.86
245,'2024/11/10 16:15:04:712',3,0.458988,0.317939,0.500009,0.318766,0.553781,0.31634,0.594494,0.311481,0.529802,0.407786,0.526652,0.254868,0.504921,0.491704,0.555325,0.488436,0.530712,0.484026,0.53081,0.498405,0.55,0.15,0.86
246,'2024/11/10 16:15:04:746',3,0.458917,0.317928,0.499971,0.31874,0.55387,0.316305,0.594696,0.311365,0.52978,0.407449,0.526538,0.254965,0.50487,0.491988,0.555226,0.48886,0.530646,0.483485,0.530784,0.500746,0.55,0.15,0.86
247,'2024/11/10 16:15:04:783',3,0.458735,0.318649,0.499641,0.319297,0.553423,0.316582,0.594261,0.311413,0.529469,0.407908,0.526009,0.255069,0.505061,0.492344,0.555394,0.488672,0.530716,0.484546,0.530878,0.499282,0.55,0.15,0.86
248,'2024/11/10 16:15:04:813',3,0.458652,0.318822,0.499794,0.319818,0.553559,0.316988,0.594472,0.311299,0.529771,0.408111,0.52626,0.255404,0.504793,0.49289,0.555056,0.488958,0.530671,0.483592,0.53084,0.502211,0.55,0.15,0.86
249,'2024/11/10 16:15:04:846',3,0.458499,0.318688,0.499701,0.319775,0.553403,0.317246,0.594311,0.311928,0.529523,0.408457,0.526384,0.255331,0.50421,0.49319,0.554875,0.489801,0.530253,0.485107,0.53042,0.500733,0.55,0.15,0.86
250,'2024/11/10 16:15:04:879',3,0.458666,0.318643,0.499899,0.319687,0.553721,0.316855,0.594679,0.311118,0.529759,0.408762,0.526482,0.255562,0.504825,0.49397,0.554783,0.490171,0.530551,0.484833,0.53069,0.50268,0.55,0.15,0.86
251,'2024/11/10 16:15:04:912',3,0.458315,0.319317,0.499628,0.320276,0.553554,0.31732,0.594509,0.311567,0.529684,0.408701,0.526238,0.25619,0.504967,0.49425,0.554468,0.49029,0.530518,0.484565,0.530705,0.503584,0.55,0.15,0.86
252,'2024/11/10 16:15:04:946',3,0.458453,0.318894,0.499764,0.320048,0.553842,0.317187,0.594869,0.311464,0.529608,0.408533,0.52648,0.256364,0.504834,0.494418,0.554302,0.490987,0.530309,0.484921,0.530499,0.503934,0.55,0.15,0.86
253,'2024/11/10 16:15:04:979',3,0.458265,0.318778,0.499464,0.319882,0.553496,0.317245,0.594352,0.311828,0.529431,0.407927,0.526144,0.256389,0.504912,0.494445,0.553902,0.4908,0.530184,0.48418,0.530371,0.504355,0.55,0.15,0.86
254,'2024/11/10 16:15:05:012',3,0.458363,0.318826,0.499516,0.319799,0.553309,0.316984,0.594022,0.311371,0.529676,0.407771,0.526078,0.25656,0.504676,0.494246,0.554204,0.490033,0.530419,0.483474,0.530607,0.505088,0.55,0.15,0.86
255,'2024/11/10 16:15:05:046',3,0.458159,0.319235,0.499425,0.320049,0.553291,0.317292,0.593947,0.311728,0.530102,0.407817,0.526011,0.256345,0.504823,0.494522,0.554761,0.490174,0.530866,0.483489,0.531098,0.505026,0.55,0.15,0.86
256,'2024/11/10 16:15:05:079',3,0.458651,0.319377,0.499921,0.320444,0.553464,0.317558,0.594244,0.311611,0.530008,0.40827,0.526248,0.256289,0.504627,0.495014,0.555009,0.490893,0.530808,0.48416,0.531023,0.50577,0.55,0.15,0.86
257,'2024/11/10 16:15:05:113',3,0.458415,0.318877,0.499744,0.320065,0.553526,0.317442,0.594475,0.311884,0.529708,0.409077,0.526336,0.256339,0.504417,0.495056,0.554826,0.491303,0.530467,0.485712,0.530669,0.504832,0.55,0.15,0.86
258,'2024/11/10 16:15:05:146',3,0.458569,0.319002,0.499715,0.319896,0.553406,0.31717,0.594222,0.311677,0.529756,0.40869,0.526192,0.256581,0.504557,0.494464,0.554855,0.490428,0.530584,0.484764,0.530758,0.503894,0.55,0.15,0.86
259,'2024/11/10 16:15:05:179',3,0.458442,0.319309,0.499739,0.320064,0.553614,0.317012,0.594468,0.311237,0.530084,0.408078,0.526335,0.256319,0.504683,0.494137,0.555167,0.489606,0.530874,0.484313,0.531043,0.503082,0.55,0.15,0.86
260,'2024/11/10 16:15:05:212',3,0.458583,0.319526,0.499871,0.320284,0.553888,0.317231,0.594873,0.311599,0.529849,0.408774,0.526632,0.256515,0.505025,0.494298,0.554672,0.490194,0.530611,0.485132,0.530773,0.502272,0.55,0.15,0.86
261,'2024/11/10 16:15:05:246',3,0.458781,0.319235,0.499917,0.319973,0.553857,0.317005,0.594869,0.311435,0.52974,0.408758,0.526435,0.256562,0.505446,0.493595,0.554911,0.489784,0.530779,0.484396,0.531003,0.501713,0.55,0.15,0.86
262,'2024/11/10 16:15:05:279',3,0.45902,0.31885,0.500137,0.31979,0.553951,0.317243,0.594857,0.311862,0.530186,0.409067,0.526762,0.256314,0.505535,0.493105,0.555568,0.489195,0.531206,0.484735,0.531419,0.500242,0.55,0.15,0.86
263,'2024/11/10 16:15:05:313',3,0.459198,0.318686,0.500315,0.31985,0.554153,0.317624,0.594943,0.312469,0.530463,0.408651,0.527044,0.256101,0.505475,0.492491,0.555453,0.489375,0.5312,0.484158,0.531354,0.50018,0.55,0.15,0.86
264,'2024/11/10 16:15:05:344',3,0.459743,0.31915,0.500644,0.320319,0.553845,0.318117,0.594359,0.312925,0.530617,0.409244,0.527076,0.256189,0.505516,0.492801,0.555619,0.489494,0.531322,0.484704,0.531446,0.499568,0.55,0.15,0.86
265,'2024/11/10 16:15:05:379',3,0.459134,0.319061,0.500272,0.320147,0.55387,0.317805,0.594539,0.312587,0.530703,0.409118,0.526959,0.256188,0.505849,0.492911,0.555836,0.489185,0.531599,0.484778,0.531754,0.498926,0.55,0.15,0.86
266,'2024/11/10 16:15:05:412',3,0.458854,0.319197,0.500058,0.320264,0.553597,0.317871,0.594283,0.312548,0.530519,0.409458,0.526629,0.256291,0.505487,0.493344,0.555725,0.489349,0.531472,0.484818,0.53163,0.501233,0.55,0.15,0.86
267,'2024/11/10 16:15:05:444',3,0.459131,0.31929,0.500291,0.320375,0.55354,0.31777,0.594132,0.312087,0.530739,0.409102,0.52654,0.256528,0.505748,0.494086,0.556102,0.489612,0.531867,0.485002,0.532068,0.502951,0.55,0.15,0.86
268,'2024/11/10 16:15:05:479',3,0.458816,0.319213,0.50007,0.32041,0.553814,0.317854,0.594593,0.312368,0.530239,0.409393,0.52673,0.256349,0.505296,0.4938,0.555568,0.489809,0.531239,0.484781,0.531426,0.502138,0.55,0.15,0.86
269,'2024/11/10 16:15:05:512',3,0.459123,0.318697,0.500161,0.319656,0.553672,0.317374,0.594292,0.312415,0.530271,0.409089,0.526789,0.256071,0.505055,0.493621,0.555487,0.489689,0.531148,0.484857,0.531322,0.502001,0.55,0.15,0.86
270,'2024/11/10 16:15:05:546',3,0.459367,0.318857,0.500418,0.319803,0.553696,0.317362,0.594178,0.312024,0.530896,0.4088,0.526955,0.255968,0.505417,0.493336,0.556321,0.488721,0.53187,0.484949,0.532003,0.500802,0.55,0.15,0.86
271,'2024/11/10 16:15:05:579',3,0.45919,0.318952,0.500358,0.319832,0.553735,0.317255,0.594411,0.311825,0.530908,0.40965,0.526897,0.255762,0.505492,0.492757,0.556259,0.488464,0.531799,0.484864,0.531951,0.49989,0.55,0.15,0.86
272,'2024/11/10 16:15:05:612',3,0.459364,0.319053,0.500428,0.320073,0.553677,0.317315,0.594335,0.311587,0.530584,0.410615,0.526713,0.256252,0.505228,0.493315,0.5559,0.48963,0.531428,0.485607,0.531605,0.50173,0.55,0.15,0.86
273,'2024/11/10 16:15:05:645',3,0.459366,0.318875,0.500452,0.320193,0.553978,0.317953,0.594758,0.312638,0.530269,0.410394,0.527055,0.256412,0.504884,0.493172,0.555437,0.490072,0.530933,0.485179,0.531098,0.501085,0.55,0.15,0.86
274,'2024/11/10 16:15:05:678',3,0.459627,0.318858,0.500472,0.319859,0.553456,0.317596,0.593845,0.312526,0.530697,0.409813,0.526709,0.256527,0.505084,0.493034,0.556032,0.489145,0.531571,0.484694,0.531691,0.501886,0.55,0.15,0.86
275,'2024/11/10 16:15:05:711',3,0.459334,0.319516,0.50042,0.320277,0.553798,0.317579,0.594525,0.312092,0.530718,0.40976,0.526711,0.256455,0.505252,0.492909,0.555925,0.488965,0.531583,0.484036,0.53173,0.502192,0.55,0.15,0.86
276,'2024/11/10 16:15:05:745',3,0.458763,0.318964,0.500053,0.32014,0.553817,0.317772,0.594624,0.312365,0.530555,0.409318,0.526688,0.256408,0.504823,0.492495,0.555746,0.488674,0.531301,0.483596,0.531483,0.501818,0.55,0.15,0.86
277,'2024/11/10 16:15:05:779',3,0.459163,0.319555,0.500336,0.320529,0.553932,0.317896,0.594736,0.312271,0.530584,0.409647,0.526634,0.25629,0.50556,0.4921,0.556337,0.487936,0.531759,0.483293,0.531916,0.500249,0.55,0.15,0.86
278,'2024/11/10 16:15:05:813',3,0.459046,0.319517,0.500194,0.320125,0.553937,0.317496,0.594708,0.312306,0.530536,0.408502,0.526719,0.256134,0.504966,0.491604,0.556122,0.487743,0.531376,0.483201,0.531481,0.498606,0.55,0.15,0.86
279,'2024/11/10 16:15:05:845',3,0.459105,0.31895,0.500262,0.319695,0.553812,0.317113,0.59452,0.311745,0.530839,0.408445,0.526725,0.256111,0.505335,0.491814,0.556397,0.487563,0.531786,0.483462,0.531922,0.498848,0.55,0.15,0.86
280,'2024/11/10 16:15:05:878',3,0.459052,0.31869,0.500246,0.319667,0.553679,0.317134,0.594415,0.311575,0.530781,0.408997,0.526642,0.256107,0.505482,0.491318,0.556339,0.486913,0.531828,0.482993,0.531997,0.49883,0.55,0.15,0.86
281,'2024/11/10 16:15:05:912',3,0.459162,0.319227,0.500246,0.319945,0.553659,0.317204,0.594438,0.311648,0.530528,0.408992,0.526622,0.255793,0.505697,0.492087,0.556072,0.487743,0.531662,0.483579,0.531832,0.498528,0.55,0.15,0.86
282,'2024/11/10 16:15:05:945',3,0.459193,0.319119,0.500271,0.320102,0.553837,0.317423,0.594711,0.311642,0.53034,0.409794,0.526617,0.25619,0.505349,0.492501,0.556384,0.488335,0.531549,0.484809,0.531683,0.498092,0.55,0.15,0.86
283,'2024/11/10 16:15:05:979',3,0.45934,0.318944,0.500382,0.319872,0.554197,0.317107,0.595149,0.311396,0.530188,0.408943,0.526938,0.256275,0.504932,0.492204,0.556176,0.488372,0.531179,0.484411,0.531289,0.497131,0.55,0.15,0.86
284,'2024/11/10 16:15:06:012',3,0.459212,0.318951,0.500268,0.319964,0.553838,0.31744,0.594555,0.311962,0.530352,0.409013,0.526884,0.255713,0.504813,0.492034,0.55569,0.488516,0.531034,0.484103,0.531182,0.497475,0.55,0.15,0.86
285,'2024/11/10 16:15:06:045',3,0.459884,0.319232,0.500826,0.31996,0.554191,0.317381,0.594765,0.311887,0.531078,0.408887,0.527236,0.255455,0.505669,0.491381,0.556917,0.487569,0.532078,0.483655,0.532226,0.497174,0.55,0.15,0.86
286,'2024/11/10 16:25:28:635',4,0.454599,0.465782,0.495462,0.474223,0.54511,0.481685,0.581329,0.483702,0.527872,0.562204,0.527473,0.420034,0.486608,0.636433,0.541879,0.642109,0.519032,0.635547,0.518878,0.642661,0.46,0.018696,0.796034
287,'2024/11/10 16:25:28:666',4,0.454715,0.465764,0.495535,0.473854,0.545032,0.48129,0.581315,0.483531,0.527717,0.562085,0.527251,0.41987,0.486356,0.636349,0.542239,0.642019,0.519002,0.635917,0.518869,0.642942,0.46,0.018696,0.796034
288,'2024/11/10 16:25:28:700',4,0.454293,0.465604,0.495229,0.47364,0.544857,0.480989,0.581174,0.483194,0.527704,0.562133,0.526995,0.420259,0.486645,0.636895,0.5422,0.642136,0.519173,0.635931,0.519057,0.64341,0.46,0.018696,0.796034
289,'2024/11/10 16:25:28:732',4,0.454268,0.465554,0.49519,0.47387,0.544784,0.481409,0.581104,0.483658,0.527603,0.562419,0.527026,0.42004,0.486639,0.636832,0.541844,0.642452,0.518991,0.635792,0.518856,0.64334,0.46,0.018696,0.796034
290,'2024/11/10 16:25:28:767',4,0.454072,0.465793,0.495171,0.474093,0.544959,0.481793,0.581421,0.484215,0.527686,0.562088,0.527121,0.419641,0.486936,0.636736,0.541891,0.642323,0.519177,0.635341,0.518998,0.64315,0.46,0.018696,0.796034
291,'2024/11/10 16:25:28:801',4,0.454019,0.465909,0.495051,0.474001,0.544694,0.481525,0.581136,0.483874,0.527601,0.562056,0.526804,0.419131,0.486769,0.636611,0.542076,0.642058,0.519142,0.635598,0.519019,0.642615,0.46,0.018696,0.796034
292,'2024/11/10 16:25:28:832',4,0.453496,0.46648,0.494617,0.47437,0.545274,0.482331,0.581332,0.485399,0.52834,0.562256,0.52737,0.418427,0.486713,0.635924,0.542079,0.641405,0.519436,0.635184,0.519297,0.642015,0.46,0.018696,0.796034
293,'2024/11/10 16:25:28:865',4,0.45453,0.471691,0.494349,0.476592,0.543865,0.483665,0.578513,0.488285,0.527757,0.561755,0.526318,0.416769,0.486562,0.636967,0.542046,0.641483,0.519173,0.635751,0.519153,0.642836,0.46,0.018696,0.796034
294,'2024/11/10 16:25:28:899',4,0.453525,0.471786,0.493889,0.476339,0.54467,0.483285,0.579745,0.488097,0.52811,0.561597,0.526489,0.417275,0.487276,0.637206,0.542481,0.641294,0.519757,0.635516,0.519785,0.642696,0.46,0.018696,0.796034
295,'2024/11/10 16:25:28:933',4,0.453581,0.469934,0.494183,0.47531,0.544968,0.482774,0.580447,0.487557,0.527813,0.559193,0.526819,0.416175,0.486896,0.636535,0.542329,0.641234,0.51945,0.634221,0.519346,0.642546,0.46,0.018696,0.796034
296,'2024/11/10 16:25:28:967',4,0.452325,0.468204,0.493491,0.474584,0.544321,0.481699,0.580573,0.484995,0.527345,0.560412,0.525831,0.416606,0.486805,0.636759,0.541727,0.641193,0.51916,0.634396,0.518981,0.642537,0.46,0.018696,0.796034
297,'2024/11/10 16:25:29:000',4,0.452978,0.468129,0.494145,0.474599,0.544686,0.481519,0.581166,0.484558,0.527241,0.560493,0.526202,0.417408,0.486488,0.63634,0.542356,0.641053,0.519118,0.63484,0.519006,0.64204,0.46,0.018696,0.796034
298,'2024/11/10 16:25:29:034',4,0.452318,0.467479,0.493566,0.474391,0.544185,0.481339,0.580753,0.483913,0.526907,0.561139,0.525582,0.41735,0.486035,0.635747,0.542405,0.640551,0.518873,0.634656,0.51879,0.641366,0.46,0.018696,0.796034
299,'2024/11/10 16:25:29:067',4,0.452109,0.465888,0.493454,0.473107,0.54438,0.480179,0.581108,0.482606,0.526569,0.560438,0.52564,0.416663,0.486255,0.635312,0.542142,0.639908,0.518683,0.634365,0.518581,0.640612,0.46,0.018696,0.796034
300,'2024/11/10 16:25:29:099',4,0.45221,0.465564,0.493414,0.472887,0.543908,0.479962,0.580395,0.482374,0.526676,0.560378,0.525408,0.416624,0.485223,0.634271,0.542501,0.639112,0.518567,0.633869,0.518481,0.639939,0.46,0.018696,0.796034
301,'2024/11/10 16:25:29:132',4,0.45225,0.466172,0.493412,0.473549,0.543842,0.480354,0.580415,0.482378,0.526316,0.560667,0.525206,0.416814,0.485293,0.634154,0.542123,0.639091,0.518285,0.633727,0.518178,0.63985,0.46,0.018696,0.796034
302,'2024/11/10 16:25:29:166',4,0.452372,0.466021,0.493538,0.473347,0.543603,0.480137,0.580075,0.482164,0.526527,0.560915,0.525328,0.417003,0.485221,0.634134,0.542342,0.638761,0.51846,0.633662,0.518385,0.639901,0.46,0.018696,0.796034
303,'2024/11/10 16:25:29:199',4,0.45216,0.465738,0.493345,0.473122,0.543635,0.480115,0.580206,0.482315,0.526278,0.559979,0.525229,0.41626,0.485056,0.63366,0.541925,0.638664,0.518168,0.633109,0.518056,0.639692,0.46,0.018696,0.796034
304,'2024/11/10 16:25:29:233',4,0.452101,0.465358,0.493408,0.472849,0.543582,0.480085,0.580076,0.482507,0.526748,0.560656,0.525438,0.416173,0.485284,0.634134,0.541926,0.639261,0.518434,0.633597,0.518335,0.640248,0.46,0.018696,0.796034
305,'2024/11/10 16:25:29:267',4,0.452383,0.465711,0.493383,0.472932,0.543269,0.480053,0.579686,0.482642,0.52616,0.560334,0.525066,0.416081,0.485163,0.633656,0.541658,0.63867,0.518072,0.632922,0.517976,0.639573,0.46,0.018696,0.796034
306,'2024/11/10 16:25:29:299',4,0.452271,0.465295,0.493359,0.472809,0.543679,0.480188,0.58029,0.482793,0.52607,0.559957,0.525268,0.416227,0.485058,0.633994,0.54145,0.639424,0.517902,0.63304,0.517755,0.639712,0.46,0.018696,0.796034
307,'2024/11/10 16:25:29:333',4,0.451861,0.465206,0.493059,0.472968,0.543624,0.480469,0.580396,0.483011,0.525871,0.560194,0.52507,0.416242,0.484935,0.634084,0.541521,0.639538,0.517807,0.633375,0.517685,0.639734,0.46,0.018696,0.796034
308,'2024/11/10 16:25:29:366',4,0.451955,0.465039,0.493211,0.47272,0.543692,0.480077,0.58035,0.482503,0.526273,0.560081,0.525197,0.416098,0.484928,0.633619,0.541825,0.638761,0.518107,0.633129,0.517963,0.639867,0.46,0.018696,0.796034
309,'2024/11/10 16:25:29:399',4,0.452413,0.465098,0.493435,0.47269,0.54372,0.47987,0.580341,0.482155,0.525874,0.559666,0.525142,0.416102,0.484765,0.63313,0.541903,0.638382,0.517891,0.632952,0.517769,0.63941,0.46,0.018696,0.796034
310,'2024/11/10 16:25:29:433',4,0.452328,0.465326,0.493376,0.472859,0.543818,0.47994,0.580484,0.482122,0.526014,0.559739,0.525141,0.416377,0.485069,0.633573,0.542073,0.63853,0.51815,0.63309,0.518023,0.639944,0.46,0.018696,0.796034
311,'2024/11/10 16:25:29:466',4,0.452587,0.465116,0.493569,0.472495,0.543772,0.479459,0.580418,0.481702,0.526108,0.559576,0.525157,0.416147,0.485209,0.633611,0.542216,0.638503,0.518301,0.63292,0.518178,0.640007,0.46,0.018696,0.796034
312,'2024/11/10 16:25:29:501',4,0.4525,0.46518,0.493709,0.472502,0.544121,0.479561,0.580781,0.481896,0.526762,0.559577,0.525545,0.41612,0.485585,0.633677,0.542491,0.638482,0.518734,0.633179,0.518644,0.639934,0.46,0.018696,0.796034
313,'2024/11/10 16:25:29:533',4,0.45225,0.465216,0.493533,0.472683,0.544124,0.479797,0.580879,0.482084,0.526647,0.560252,0.525533,0.416209,0.485266,0.634054,0.542246,0.639233,0.51852,0.633611,0.518385,0.6405,0.46,0.018696,0.796034
314,'2024/11/10 16:25:29:567',4,0.452484,0.46509,0.493649,0.472512,0.544302,0.479721,0.581059,0.482189,0.526353,0.56042,0.52567,0.416416,0.485369,0.633618,0.541765,0.639146,0.518155,0.633565,0.518036,0.640085,0.46,0.018696,0.796034
315,'2024/11/10 16:25:29:600',4,0.452693,0.465201,0.493908,0.472618,0.544339,0.479652,0.581014,0.481955,0.526842,0.560605,0.525813,0.416384,0.485492,0.633797,0.542206,0.639129,0.518561,0.633535,0.51846,0.640076,0.46,0.018696,0.796034
316,'2024/11/10 16:25:29:632',4,0.452939,0.465675,0.494195,0.472948,0.544599,0.479913,0.581281,0.48226,0.527096,0.56026,0.526148,0.416583,0.485424,0.63368,0.542276,0.639061,0.518617,0.633417,0.518504,0.640083,0.46,0.018696,0.796034
317,'2024/11/10 16:25:29:666',4,0.452825,0.465655,0.494119,0.472882,0.54454,0.479766,0.581271,0.481975,0.527166,0.560118,0.525999,0.416218,0.485898,0.633784,0.542633,0.638604,0.518999,0.633122,0.518876,0.639636,0.46,0.018696,0.796034
318,'2024/11/10 16:25:29:699',4,0.452938,0.46534,0.494175,0.472727,0.544438,0.479604,0.581099,0.481745,0.527267,0.560289,0.526043,0.416386,0.485688,0.634059,0.542706,0.638992,0.519012,0.633413,0.518892,0.640356,0.46,0.018696,0.796034
319,'2024/11/10 16:25:29:733',4,0.453054,0.465283,0.494273,0.47267,0.544564,0.47958,0.581148,0.481737,0.527462,0.56031,0.526298,0.416023,0.48589,0.63428,0.542262,0.639331,0.518966,0.633432,0.518829,0.640617,0.46,0.018696,0.796034
320,'2024/11/10 16:25:29:766',4,0.453174,0.465224,0.494199,0.472469,0.544217,0.479182,0.580793,0.481251,0.526983,0.560093,0.525903,0.415868,0.485834,0.633982,0.542361,0.638853,0.518802,0.633086,0.518694,0.639745,0.46,0.018696,0.796034
321,'2024/11/10 16:25:29:799',4,0.453038,0.465209,0.494064,0.472331,0.544236,0.479023,0.580809,0.481175,0.526742,0.560206,0.525745,0.416171,0.485448,0.633991,0.542591,0.639065,0.518615,0.633637,0.51852,0.639979,0.46,0.018696,0.796034
322,'2024/11/10 16:25:29:833',4,0.452837,0.46526,0.493931,0.472343,0.544278,0.479175,0.580991,0.481462,0.526644,0.559934,0.525699,0.415595,0.485518,0.634331,0.542132,0.639616,0.518446,0.633498,0.518305,0.640399,0.46,0.018696,0.796034
323,'2024/11/10 16:25:29:866',4,0.452854,0.46536,0.493809,0.47237,0.543924,0.479065,0.580557,0.481261,0.526459,0.560128,0.525379,0.415845,0.486011,0.63448,0.541872,0.639354,0.518499,0.633263,0.518406,0.640436,0.46,0.018696,0.796034
324,'2024/11/10 16:25:29:897',4,0.452922,0.465232,0.493861,0.472305,0.543955,0.479151,0.580588,0.481497,0.526491,0.559761,0.525421,0.415547,0.485687,0.634141,0.54256,0.639122,0.518656,0.63322,0.518572,0.639837,0.46,0.018696,0.796034
325,'2024/11/10 16:25:29:932',4,0.453009,0.465411,0.493903,0.472422,0.544031,0.479265,0.580544,0.481653,0.526543,0.559751,0.525523,0.415745,0.485828,0.634306,0.542102,0.639527,0.518517,0.633142,0.518445,0.639988,0.46,0.018696,0.796034
326,'2024/11/10 16:25:29:966',4,0.453361,0.465157,0.494334,0.472588,0.544436,0.479605,0.581002,0.481829,0.526885,0.55976,0.526016,0.415766,0.485713,0.634021,0.542633,0.639675,0.518732,0.633494,0.518673,0.640025,0.46,0.018696,0.796034
327,'2024/11/10 16:25:29:999',4,0.452978,0.465097,0.493954,0.472509,0.544267,0.479462,0.580887,0.481787,0.526431,0.559496,0.525652,0.415834,0.485142,0.633756,0.542434,0.639321,0.518314,0.633283,0.518252,0.639934,0.46,0.018696,0.796034
328,'2024/11/10 16:25:30:033',4,0.452609,0.464927,0.493794,0.472228,0.54433,0.479155,0.581012,0.481475,0.526718,0.559525,0.525617,0.415851,0.485423,0.633882,0.542635,0.639048,0.518644,0.633347,0.518586,0.63994,0.46,0.018696,0.796034
329,'2024/11/10 16:25:30:066',4,0.45259,0.464717,0.493831,0.472075,0.54442,0.479154,0.58114,0.481531,0.526889,0.559808,0.525741,0.415612,0.485516,0.634007,0.542626,0.639526,0.518702,0.633545,0.518613,0.640346,0.46,0.018696,0.796034
330,'2024/11/10 16:25:30:099',4,0.45283,0.464711,0.493892,0.472042,0.544102,0.478964,0.580727,0.481212,0.526712,0.560125,0.525539,0.415473,0.485693,0.634002,0.542568,0.639188,0.518706,0.633297,0.518622,0.64004,0.46,0.018696,0.796034
331,'2024/11/10 16:25:30:133',4,0.452849,0.464693,0.493938,0.471997,0.544185,0.478924,0.580818,0.481272,0.52669,0.55999,0.525708,0.415642,0.48554,0.633954,0.542515,0.639254,0.518579,0.633319,0.518519,0.639768,0.46,0.018696,0.796034
332,'2024/11/10 16:25:30:166',4,0.453137,0.464975,0.494212,0.472173,0.544205,0.479097,0.580739,0.48154,0.527074,0.560081,0.52589,0.415547,0.485742,0.633987,0.542743,0.639128,0.518905,0.633303,0.518835,0.640032,0.46,0.018696,0.796034
333,'2024/11/10 16:25:30:199',4,0.453054,0.465075,0.494196,0.472202,0.544437,0.479222,0.581101,0.481756,0.527106,0.559497,0.526005,0.415596,0.485597,0.63385,0.542571,0.639206,0.518816,0.632836,0.518678,0.640235,0.46,0.018696,0.796034
334,'2024/11/10 16:25:30:231',4,0.453024,0.465187,0.494196,0.47217,0.544495,0.479229,0.581084,0.481865,0.527347,0.55899,0.526044,0.415456,0.48577,0.634114,0.542665,0.639418,0.519035,0.632879,0.518867,0.640612,0.46,0.018696,0.796034
335,'2024/11/10 16:25:30:266',4,0.453495,0.464929,0.494423,0.471937,0.544271,0.47896,0.580616,0.481523,0.52737,0.559513,0.526071,0.415083,0.485967,0.634196,0.542373,0.639597,0.518968,0.633184,0.5188,0.64077,0.46,0.018696,0.796034
336,'2024/11/10 16:25:30:299',4,0.453713,0.46489,0.494591,0.471665,0.544337,0.478687,0.580649,0.481485,0.527353,0.559211,0.526283,0.414955,0.486309,0.634351,0.542332,0.639327,0.519049,0.633062,0.518889,0.640595,0.46,0.018696,0.796034
337,'2024/11/10 16:25:30:333',4,0.453675,0.46502,0.494553,0.47181,0.544525,0.478926,0.580979,0.481928,0.527131,0.558559,0.526279,0.415197,0.48611,0.634145,0.542309,0.639574,0.518822,0.632934,0.518688,0.640228,0.46,0.018696,0.796034
338,'2024/11/10 16:25:30:366',4,0.453762,0.465259,0.494595,0.472222,0.544406,0.479222,0.580806,0.481852,0.52714,0.559034,0.526218,0.415332,0.486192,0.633969,0.542175,0.639296,0.518822,0.633,0.518681,0.639997,0.46,0.018696,0.796034
339,'2024/11/10 16:25:30:400',4,0.453623,0.465233,0.494607,0.472167,0.544359,0.479002,0.58073,0.481478,0.527558,0.559342,0.526266,0.415031,0.486348,0.634227,0.542694,0.639204,0.519263,0.633446,0.519171,0.640222,0.46,0.018696,0.796034
340,'2024/11/10 16:25:30:433',4,0.453737,0.464971,0.494627,0.472153,0.544212,0.479103,0.580648,0.481565,0.527194,0.558864,0.526195,0.414671,0.486136,0.634039,0.542539,0.639181,0.518982,0.633074,0.518896,0.640014,0.46,0.018696,0.796034
341,'2024/11/10 16:25:30:465',4,0.45378,0.464853,0.494638,0.472225,0.544224,0.479197,0.580645,0.481518,0.527097,0.559463,0.52615,0.414948,0.485999,0.633694,0.542578,0.639036,0.518901,0.633096,0.518814,0.639849,0.46,0.018696,0.796034
342,'2024/11/10 16:25:30:498',4,0.453645,0.465155,0.494572,0.472165,0.544274,0.479115,0.580636,0.481692,0.527401,0.559917,0.526163,0.415029,0.486131,0.63387,0.543087,0.638811,0.519277,0.633371,0.519228,0.639852,0.46,0.018696,0.796034
343,'2024/11/10 16:25:30:533',4,0.453689,0.464901,0.494548,0.472151,0.544176,0.479127,0.580469,0.481534,0.527344,0.559814,0.526151,0.415307,0.486053,0.633658,0.542814,0.63856,0.519162,0.633108,0.519083,0.639717,0.46,0.018696,0.796034
344,'2024/11/10 16:25:30:566',4,0.453659,0.464637,0.494433,0.471759,0.544081,0.478783,0.580381,0.48142,0.527012,0.559632,0.525988,0.415051,0.486383,0.633779,0.542548,0.638651,0.519062,0.632975,0.518986,0.639723,0.46,0.018696,0.796034
