@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
22,'2024/11/10 16:14:49:252',1,0.450574,0.340318,0.490846,0.341643,0.545349,0.338975,0.586489,0.333988,0.518164,0.442314,0.517489,0.284628,0.488989,0.512853,0.54744,0.512295,0.518251,0.513179,0.518164,0.519069,0.55,0,0
23,'2024/11/10 16:14:49:285',1,0.449621,0.339125,0.490395,0.341338,0.545173,0.338391,0.58665,0.33189,0.518314,0.441674,0.516855,0.28479,0.489448,0.512537,0.547822,0.511508,0.518728,0.512766,0.518592,0.518657,0.55,0,0
24,'2024/11/10 16:14:49:318',1,0.449377,0.338432,0.490121,0.341206,0.544492,0.338491,0.586041,0.331736,0.517882,0.442507,0.516354,0.284373,0.489649,0.512459,0.547661,0.51145,0.518552,0.512585,0.518506,0.518183,0.55,0,0
25,'2024/11/10 16:14:49:350',1,0.449325,0.337969,0.490155,0.340869,0.544361,0.338257,0.58586,0.331584,0.517965,0.441699,0.51636,0.284493,0.489366,0.512042,0.547819,0.511091,0.518549,0.512286,0.518503,0.517908,0.55,0,0
26,'2024/11/10 16:14:49:383',1,0.449992,0.33707,0.490591,0.340641,0.544458,0.338203,0.585871,0.331103,0.517785,0.442041,0.516634,0.284138,0.48947,0.511558,0.547512,0.51101,0.518375,0.512208,0.518368,0.517942,0.55,0,0
27,'2024/11/10 16:14:49:418',1,0.449525,0.336733,0.490339,0.34044,0.544207,0.337774,0.585822,0.330293,0.517719,0.442375,0.516289,0.283956,0.489297,0.511771,0.547847,0.510853,0.518447,0.512186,0.518424,0.518086,0.55,0,0
28,'2024/11/10 16:14:49:451',1,0.449618,0.336817,0.490528,0.340375,0.544425,0.337673,0.586119,0.330335,0.517934,0.442583,0.516532,0.28414,0.489378,0.512039,0.548198,0.511253,0.518646,0.512526,0.518638,0.518291,0.55,0,0
29,'2024/11/10 16:14:49:486',1,0.449029,0.337474,0.489781,0.340842,0.543988,0.338171,0.585587,0.330932,0.51728,0.443191,0.515822,0.285154,0.489294,0.511996,0.547564,0.511226,0.518186,0.512557,0.518172,0.518502,0.55,0,0
30,'2024/11/10 16:14:49:518',1,0.449088,0.337229,0.489828,0.340858,0.544145,0.338135,0.585752,0.330622,0.517138,0.442788,0.51581,0.284717,0.48923,0.512141,0.54743,0.5115,0.518073,0.512485,0.518086,0.518379,0.55,0,0
31,'2024/11/10 16:14:49:549',1,0.449465,0.337208,0.490253,0.340741,0.544188,0.33794,0.585759,0.33035,0.5176,0.443625,0.516155,0.285171,0.489666,0.512006,0.547941,0.511124,0.518553,0.512745,0.518563,0.518317,0.55,0,0
32,'2024/11/10 16:14:49:583',1,0.449303,0.337295,0.490053,0.340946,0.544063,0.338217,0.585699,0.330627,0.51718,0.443921,0.51598,0.284852,0.489215,0.512477,0.547722,0.511748,0.518162,0.513335,0.518187,0.518651,0.55,0,0
33,'2024/11/10 16:14:49:616',1,0.449251,0.33756,0.490019,0.341209,0.544087,0.338447,0.585745,0.330735,0.517399,0.444506,0.515991,0.284977,0.489802,0.512821,0.547816,0.511703,0.518503,0.513155,0.518509,0.518553,0.55,0,0
34,'2024/11/10 16:14:49:649',1,0.44989,0.339553,0.490287,0.342031,0.544256,0.339076,0.585459,0.33232,0.517793,0.445201,0.516385,0.284707,0.489594,0.513229,0.547982,0.51189,0.518642,0.51375,0.518669,0.518766,0.55,0,0
35,'2024/11/10 16:14:49:684',1,0.451589,0.34469,0.491002,0.344906,0.544049,0.342172,0.584327,0.337983,0.517969,0.442544,0.516635,0.283253,0.489719,0.514686,0.548448,0.512628,0.518857,0.514633,0.519005,0.519527,0.55,0,0
36,'2024/11/10 16:14:49:719',1,0.451487,0.345765,0.490816,0.345698,0.544021,0.34274,0.584366,0.338471,0.517779,0.442642,0.516323,0.283621,0.489745,0.514563,0.548911,0.512214,0.519026,0.514491,0.519159,0.519114,0.55,0,0
37,'2024/11/10 16:14:49:752',1,0.450392,0.345533,0.490052,0.345401,0.544282,0.342081,0.585139,0.337503,0.517342,0.443664,0.515958,0.284172,0.489677,0.514129,0.548632,0.511807,0.518742,0.514166,0.518816,0.519195,0.55,0,0
38,'2024/11/10 16:14:49:785',1,0.45027,0.342034,0.490681,0.343892,0.545292,0.341206,0.586801,0.335444,0.517663,0.443522,0.516912,0.284968,0.489059,0.513362,0.548359,0.512602,0.518463,0.514497,0.5184,0.519588,0.55,0,0
39,'2024/11/10 16:14:49:818',1,0.449394,0.339679,0.489964,0.342337,0.544122,0.339545,0.585723,0.332759,0.517136,0.443404,0.51582,0.284906,0.489024,0.512878,0.54814,0.511849,0.51826,0.513757,0.518235,0.518894,0.55,0,0
40,'2024/11/10 16:14:49:852',1,0.449687,0.338923,0.490386,0.341617,0.544371,0.33896,0.585828,0.332443,0.518027,0.442919,0.51648,0.284235,0.489386,0.512726,0.548333,0.511773,0.518793,0.513442,0.518821,0.51891,0.55,0,0
41,'2024/11/10 16:14:49:884',1,0.449533,0.338689,0.490226,0.342143,0.544263,0.33967,0.585694,0.332661,0.517834,0.444491,0.516323,0.285029,0.48937,0.512465,0.548148,0.511747,0.518631,0.513361,0.518656,0.518621,0.55,0,0
42,'2024/11/10 16:14:49:918',1,0.449424,0.338532,0.490212,0.341836,0.544428,0.338964,0.585913,0.331566,0.517961,0.445075,0.516329,0.285257,0.489857,0.512674,0.547685,0.51196,0.518655,0.513269,0.518627,0.518426,0.55,0,0
43,'2024/11/10 16:14:49:951',1,0.449612,0.337685,0.490193,0.341342,0.543999,0.338952,0.585364,0.331948,0.517665,0.444778,0.516236,0.284617,0.490103,0.512457,0.547623,0.511606,0.51862,0.51295,0.518687,0.518095,0.55,0,0
44,'2024/11/10 16:14:49:984',1,0.448942,0.337677,0.489814,0.341108,0.544113,0.33824,0.585684,0.330706,0.517813,0.443786,0.515951,0.284938,0.489874,0.511913,0.548071,0.510573,0.518788,0.512563,0.518822,0.517136,0.55,0,0
45,'2024/11/10 16:14:50:017',1,0.449155,0.337305,0.489975,0.340975,0.543844,0.338255,0.58536,0.330683,0.51769,0.443479,0.516039,0.284731,0.489848,0.512103,0.547808,0.51063,0.518626,0.512466,0.518675,0.517263,0.55,0,0
46,'2024/11/10 16:14:50:050',1,0.449319,0.33722,0.490004,0.3406,0.5439,0.337856,0.585394,0.330479,0.517565,0.443116,0.516017,0.284451,0.489806,0.512251,0.547683,0.510879,0.518494,0.512671,0.518552,0.517378,0.55,0,0
47,'2024/11/10 16:14:50:083',1,0.449058,0.337411,0.489866,0.340882,0.543627,0.338012,0.585164,0.330399,0.51757,0.443353,0.515753,0.284483,0.489484,0.512067,0.547765,0.510627,0.518441,0.512493,0.518496,0.517422,0.55,0,0
48,'2024/11/10 16:14:50:117',1,0.449065,0.337363,0.489783,0.34093,0.543387,0.337965,0.584895,0.330152,0.517167,0.443261,0.515481,0.284146,0.489231,0.51178,0.547576,0.510292,0.518157,0.512376,0.518222,0.517587,0.55,0,0
49,'2024/11/10 16:14:50:150',1,0.449018,0.337129,0.489757,0.340482,0.543261,0.337585,0.584697,0.329951,0.51741,0.443201,0.515502,0.28396,0.489631,0.511379,0.547635,0.509604,0.518421,0.511916,0.518491,0.516957,0.55,0,0
50,'2024/11/10 16:14:50:184',1,0.449065,0.336605,0.48984,0.340213,0.543256,0.337272,0.584726,0.329298,0.517317,0.443134,0.515501,0.28401,0.489539,0.511652,0.547366,0.510055,0.518245,0.511964,0.518297,0.517132,0.55,0,0
51,'2024/11/10 16:14:50:217',1,0.449137,0.336267,0.490009,0.340087,0.543587,0.33741,0.585159,0.329682,0.517447,0.442261,0.515922,0.28384,0.489364,0.511429,0.54738,0.510217,0.518212,0.511658,0.518293,0.517046,0.55,0,0
52,'2024/11/10 16:14:50:250',1,0.448919,0.33655,0.489769,0.339966,0.543477,0.337112,0.585042,0.329444,0.517306,0.442124,0.515586,0.283131,0.489357,0.511478,0.547175,0.510267,0.518089,0.511695,0.518159,0.517244,0.55,0,0
53,'2024/11/10 16:14:50:284',1,0.448556,0.336566,0.489473,0.339946,0.54346,0.336859,0.585151,0.328942,0.517016,0.441948,0.515351,0.283524,0.489214,0.511562,0.546922,0.510532,0.517814,0.511494,0.51786,0.51744,0.55,0,0
54,'2024/11/10 16:14:50:317',1,0.44926,0.33698,0.489963,0.340063,0.543657,0.337129,0.585127,0.329688,0.517185,0.4422,0.515751,0.283223,0.489501,0.511479,0.547167,0.51049,0.518041,0.511593,0.518117,0.517545,0.55,0,0
55,'2024/11/10 16:14:50:351',1,0.450735,0.343264,0.490344,0.344065,0.543483,0.341181,0.584179,0.335981,0.516911,0.44106,0.515924,0.281625,0.489512,0.513042,0.546948,0.511152,0.517846,0.512456,0.517978,0.51817,0.55,0,0
56,'2024/11/10 16:14:50:384',1,0.450574,0.344876,0.490104,0.345686,0.542856,0.343059,0.583368,0.338303,0.516843,0.442575,0.51552,0.282173,0.488608,0.512466,0.547574,0.510472,0.51781,0.513232,0.517978,0.51784,0.55,0,0
57,'2024/11/10 16:14:50:417',1,0.450394,0.344654,0.490105,0.345357,0.543475,0.343051,0.584285,0.338807,0.516831,0.442306,0.515865,0.282303,0.488485,0.512528,0.547486,0.511,0.517667,0.513216,0.517802,0.518314,0.55,0,0
58,'2024/11/10 16:14:50:451',1,0.450097,0.343653,0.489738,0.344026,0.543886,0.341416,0.584724,0.337069,0.516833,0.441602,0.515805,0.283302,0.489286,0.512323,0.54711,0.511062,0.517836,0.512218,0.517908,0.517793,0.55,0,0
59,'2024/11/10 16:14:50:484',1,0.449983,0.340919,0.490419,0.342587,0.545476,0.339288,0.587101,0.332843,0.517513,0.44164,0.516712,0.283322,0.489205,0.511862,0.54744,0.511179,0.518115,0.512162,0.518041,0.517746,0.55,0,0
60,'2024/11/10 16:14:50:516',1,0.449117,0.339546,0.489688,0.341469,0.544485,0.338201,0.586201,0.331609,0.517053,0.441973,0.515838,0.283091,0.489421,0.511576,0.547777,0.510288,0.518243,0.511759,0.518215,0.517312,0.55,0,0
61,'2024/11/10 16:14:50:551',1,0.4493,0.336873,0.489867,0.339864,0.544196,0.337529,0.585729,0.331063,0.51721,0.442725,0.516192,0.283365,0.489141,0.510947,0.547176,0.510332,0.517961,0.511448,0.517963,0.517227,0.55,0,0
62,'2024/11/10 16:14:50:584',1,0.4487,0.336332,0.48967,0.339566,0.544517,0.336979,0.586547,0.330054,0.516873,0.441994,0.516011,0.282877,0.488569,0.510798,0.547182,0.510538,0.517578,0.511458,0.517577,0.517095,0.55,0,0
63,'2024/11/10 16:14:50:617',1,0.448981,0.335723,0.489846,0.339186,0.544525,0.33678,0.586508,0.329784,0.516949,0.442114,0.516109,0.282731,0.488995,0.510546,0.547152,0.510202,0.517768,0.511238,0.517762,0.517661,0.55,0,0
64,'2024/11/10 16:14:50:650',1,0.448716,0.335768,0.4898,0.338913,0.54502,0.33628,0.587139,0.32925,0.517462,0.441911,0.516358,0.282361,0.489446,0.510641,0.547386,0.509894,0.518232,0.511158,0.518178,0.517614,0.55,0,0
65,'2024/11/10 16:14:50:684',1,0.44881,0.335778,0.489817,0.339233,0.54461,0.336868,0.586606,0.329827,0.51725,0.441748,0.516234,0.282952,0.489254,0.51022,0.547338,0.509669,0.518063,0.510871,0.518055,0.517175,0.55,0,0
66,'2024/11/10 16:14:50:717',1,0.449034,0.335685,0.489938,0.339156,0.544441,0.3368,0.586348,0.329696,0.517318,0.441766,0.516213,0.282254,0.489409,0.510738,0.547289,0.510112,0.518138,0.511071,0.518113,0.517343,0.55,0,0
67,'2024/11/10 16:14:50:750',1,0.448885,0.335497,0.489812,0.338745,0.544382,0.336203,0.586318,0.329036,0.5173,0.441522,0.516071,0.282371,0.489294,0.511252,0.547398,0.510479,0.518135,0.511463,0.518118,0.517601,0.55,0,0
68,'2024/11/10 16:14:50:783',1,0.448887,0.335779,0.489887,0.339378,0.544246,0.33681,0.586234,0.329384,0.517181,0.44096,0.51605,0.28259,0.489382,0.511048,0.547313,0.510076,0.518082,0.511219,0.518068,0.517296,0.55,0,0
69,'2024/11/10 16:14:50:816',1,0.448959,0.335946,0.48994,0.339711,0.544122,0.337204,0.586005,0.329677,0.517397,0.441538,0.516158,0.282961,0.489378,0.511083,0.547385,0.509932,0.518206,0.511199,0.518197,0.517121,0.55,0,0
